Quarter,Stock,Date,Open,High,Low,Close,Volume,PercentChangePrice,PercentChangeVolumeOverLastWk,PreviousWeeksVolume,NextWeeksOpen,NextWeeksClose,PercentChangeNextWeeksPrice,DaysToNextDividend,PercentReturnNextDividend,,,,
1,AA,1/7/2011,$15.82 ,$16.72 ,$15.78 ,$16.42 ,239655616,0.0379267,0.00000000,,$16.71 ,$15.97 ,-0.04428490,26,0.00182704,,,,
1,AA,1/14/2011,$16.71 ,$16.71 ,$15.64 ,$15.97 ,242963398,-0.0442849,0.01380223,239655616,$16.19 ,$15.79 ,-0.02470660,19,0.00187852,,,,
1,AA,1/21/2011,$16.19 ,$16.38 ,$15.60 ,$15.79 ,138428495,-0.0247066,-0.43024959,242963398,$15.87 ,$16.13 ,0.01638310,12,0.00189994,,,,
1,AA,1/28/2011,$15.87 ,$16.63 ,$15.82 ,$16.13 ,151379173,0.0163831,0.09355500,138428495,$16.18 ,$17.14 ,0.05933250,5,0.00185989,,,,
1,AA,2/4/2011,$16.18 ,$17.39 ,$16.18 ,$17.14 ,154387761,0.0593325,0.01987452,151379173,$17.33 ,$17.37 ,0.00230814,97,0.00175029,,,,
1,AA,2/11/2011,$17.33 ,$17.48 ,$16.97 ,$17.37 ,114691279,0.0023081,-0.25712195,154387761,$17.39 ,$17.28 ,-0.00632547,90,0.00172712,,,,
1,AA,2/18/2011,$17.39 ,$17.68 ,$17.28 ,$17.28 ,80023895,-0.0063255,-0.30226696,114691279,$16.98 ,$16.68 ,-0.01766780,83,0.00173611,,,,
1,AA,2/25/2011,$16.98 ,$17.15 ,$15.96 ,$16.68 ,132981863,-0.0176678,0.66177694,80023895,$16.81 ,$16.58 ,-0.01368230,76,0.00179856,,,,
1,AA,3/4/2011,$16.81 ,$16.94 ,$16.13 ,$16.58 ,109493077,-0.0136823,-0.17663150,132981863,$16.58 ,$16.03 ,-0.03317250,69,0.00180941,,,,
1,AA,3/11/2011,$16.58 ,$16.75 ,$15.42 ,$16.03 ,114332562,-0.0331725,0.04419900,109493077,$15.95 ,$16.11 ,0.01003130,62,0.00187149,,,,
1,AA,3/18/2011,$15.95 ,$16.33 ,$15.43 ,$16.11 ,130374108,0.0100313,0.14030601,114332562,$16.38 ,$17.09 ,0.04334550,55,0.00186220,,,,
1,AA,3/25/2011,$16.38 ,$17.24 ,$16.26 ,$17.09 ,95550392,0.0433455,-0.26710607,130374108,$17.13 ,$17.47 ,0.01984820,48,0.00175541,,,,
1,AXP,1/7/2011,$43.30 ,$45.60 ,$43.11 ,$44.36 ,45102042,0.0244804,0.00000000,,$44.20 ,$46.25 ,0.04638010,89,0.00405771,,,,
1,AXP,1/14/2011,$44.20 ,$46.25 ,$44.01 ,$46.25 ,25913713,0.0463801,-0.42544258,45102042,$46.03 ,$46.00 ,-0.00065175,82,0.00389189,,,,
1,AXP,1/21/2011,$46.03 ,$46.71 ,$44.71 ,$46.00 ,38824728,-0.0006517,0.49823099,25913713,$46.05 ,$43.86 ,-0.04755700,75,0.00391304,,,,
1,AXP,1/28/2011,$46.05 ,$46.27 ,$43.42 ,$43.86 ,51427274,-0.0475570,0.32460101,38824728,$44.13 ,$43.82 ,-0.00702470,68,0.00410397,,,,
1,AXP,2/4/2011,$44.13 ,$44.23 ,$43.15 ,$43.82 ,39501680,-0.0070247,-0.23189240,51427274,$43.96 ,$46.75 ,0.06346680,61,0.00410771,,,,
1,AXP,2/11/2011,$43.96 ,$46.79 ,$43.88 ,$46.75 ,43746998,0.0634668,0.10747183,39501680,$46.42 ,$45.53 ,-0.01917280,54,0.00385027,,,,
1,AXP,2/18/2011,$46.42 ,$46.93 ,$45.53 ,$45.53 ,28564910,-0.0191728,-0.34704297,43746998,$44.94 ,$43.53 ,-0.03137520,47,0.00395344,,,,
1,AXP,2/25/2011,$44.94 ,$45.12 ,$43.01 ,$43.53 ,39654146,-0.0313752,0.38821183,28564910,$43.73 ,$43.72 ,-0.00022868,40,0.00413508,,,,
1,AXP,3/4/2011,$43.73 ,$44.68 ,$42.75 ,$43.72 ,38985037,-0.0002287,-0.01687362,39654146,$43.86 ,$44.28 ,0.00957592,33,0.00411711,,,,
1,AXP,3/11/2011,$43.86 ,$45.54 ,$43.53 ,$44.28 ,37613429,0.0095759,-0.03518293,38985037,$43.86 ,$44.17 ,0.00706794,26,0.00406504,,,,
1,AXP,3/18/2011,$43.86 ,$44.47 ,$42.19 ,$44.17 ,41757526,0.0070679,0.11017600,37613429,$44.75 ,$45.59 ,0.01877090,19,0.00407516,,,,
1,AXP,3/25/2011,$44.75 ,$45.61 ,$44.10 ,$45.59 ,30798332,0.0187709,-0.26244835,41757526,$45.54 ,$45.36 ,-0.00395257,12,0.00394823,,,,
1,BA,1/7/2011,$66.15 ,$70.10 ,$66.00 ,$69.38 ,36258120,0.0488284,0.00000000,,$69.42 ,$70.07 ,0.00936330,33,0.00605362,,,,
1,BA,1/14/2011,$69.42 ,$70.50 ,$68.35 ,$70.07 ,18834664,0.0093633,-0.48053942,36258120,$70.86 ,$71.68 ,0.01157210,26,0.00599401,,,,
1,BA,1/21/2011,$70.86 ,$72.99 ,$70.23 ,$71.68 ,29594221,0.0115721,0.57126355,18834664,$71.52 ,$69.23 ,-0.03201900,19,0.00585938,,,,
1,BA,1/28/2011,$71.52 ,$72.82 ,$69.00 ,$69.23 ,34929673,-0.0320190,0.18028696,29594221,$69.26 ,$71.38 ,0.03060930,12,0.00606673,,,,
1,BA,2/4/2011,$69.26 ,$71.64 ,$69.12 ,$71.38 ,22770062,0.0306093,-0.34811694,34929673,$71.43 ,$72.14 ,0.00993980,5,0.00588400,,,,
1,BA,2/11/2011,$71.43 ,$72.99 ,$71.15 ,$72.14 ,21809411,0.0099398,-0.04218921,22770062,$72.70 ,$73.04 ,0.00467675,89,0.00582201,,,,
1,BA,2/18/2011,$72.70 ,$73.04 ,$71.09 ,$73.04 ,15989248,0.0046768,-0.26686475,21809411,$72.35 ,$72.30 ,-0.00069109,82,0.00575027,,,,
1,BA,2/25/2011,$72.35 ,$74.29 ,$70.00 ,$72.30 ,26258425,-0.0006911,0.64225516,15989248,$72.47 ,$71.80 ,-0.00924520,75,0.00580913,,,,
1,BA,3/4/2011,$72.47 ,$72.90 ,$68.60 ,$71.80 ,27527285,-0.0092452,0.04832201,26258425,$71.60 ,$71.64 ,0.00055866,68,0.00584958,,,,
1,BA,3/11/2011,$71.60 ,$72.50 ,$69.91 ,$71.64 ,25556296,0.0005587,-0.07160129,27527285,$71.17 ,$69.10 ,-0.02908530,61,0.00586265,,,,
1,BA,3/18/2011,$71.17 ,$71.23 ,$67.34 ,$69.10 ,29746370,-0.0290853,0.16395467,25556296,$70.29 ,$73.34 ,0.04339170,54,0.00607815,,,,
1,BA,3/25/2011,$70.29 ,$73.50 ,$70.03 ,$73.34 ,24423545,0.0433917,-0.17894032,29746370,$73.50 ,$74.01 ,0.00693878,47,0.00572675,,,,
1,BAC,1/7/2011,$13.85 ,$14.69 ,$13.80 ,$14.25 ,1453438639,0.0288809,0.00000000,,$14.17 ,$15.25 ,0.07621740,54,0.00070175,,,,
1,BAC,1/14/2011,$14.17 ,$15.25 ,$14.09 ,$15.25 ,760935694,0.0762174,-0.47645833,1453438639,$15.08 ,$14.25 ,-0.05503980,47,0.00065574,,,,
1,BAC,1/21/2011,$15.08 ,$15.16 ,$13.94 ,$14.25 ,982445809,-0.0550398,0.29110228,760935694,$14.25 ,$13.60 ,-0.04561400,40,0.00070175,,,,
1,BAC,1/28/2011,$14.25 ,$14.26 ,$13.40 ,$13.60 ,1054415375,-0.0456140,0.07325551,982445809,$13.71 ,$14.29 ,0.04230490,33,0.00073529,,,,
1,BAC,2/4/2011,$13.71 ,$14.47 ,$13.64 ,$14.29 ,757192224,0.0423049,-0.28188431,1054415375,$14.51 ,$14.77 ,0.01791870,26,0.00069979,,,,
1,BAC,2/11/2011,$14.51 ,$14.87 ,$14.35 ,$14.77 ,746465458,0.0179187,-0.01416650,757192224,$14.77 ,$14.75 ,-0.00135410,19,0.00067705,,,,
